Language,Tokenizer,Vocab Size,NSL,Fertility
Arabic,hf_bpe_large,large,0.3316,1.9056
Arabic,hf_bpe_medium,medium,0.3726,2.1427
Arabic,hf_bpe_small,small,0.4908,2.8232
Arabic,hf_wordpiece_large,large,0.3567,2.0482
Arabic,hf_wordpiece_medium,medium,0.4485,2.5773
Arabic,hf_wordpiece_small,small,0.8353,4.8084
Arabic,sp_bpe_large,large,0.3414,1.9597
Arabic,sp_bpe_medium,medium,0.3828,2.1987
Arabic,sp_bpe_small,small,0.501,2.8776
Arabic,sp_unigram_large,large,0.3427,1.9706
Arabic,sp_unigram_medium,medium,0.3879,2.2264
Arabic,sp_unigram_small,small,0.4859,2.7878
Bengali,hf_bpe_large,large,0.2479,1.6934
Bengali,hf_bpe_medium,medium,0.2897,1.9807
Bengali,hf_bpe_small,small,0.427,2.9301
Bengali,hf_wordpiece_large,large,0.2759,1.8865
Bengali,hf_wordpiece_medium,medium,0.3897,2.6693
Bengali,hf_wordpiece_small,small,0.8569,5.8917
Bengali,sp_bpe_large,large,0.2592,1.7718
Bengali,sp_bpe_medium,medium,0.3027,2.0709
Bengali,sp_bpe_small,small,0.4408,3.0247
Bengali,sp_unigram_large,large,0.2512,1.7167
Bengali,sp_unigram_medium,medium,0.2958,2.0243
Bengali,sp_unigram_small,small,0.4621,3.1692
Hindi,hf_bpe_large,large,0.3258,1.8028
Hindi,hf_bpe_medium,medium,0.3566,1.9619
Hindi,hf_bpe_small,small,0.4727,2.5893
Hindi,hf_wordpiece_large,large,0.3377,1.8444
Hindi,hf_wordpiece_medium,medium,0.421,2.2823
Hindi,hf_wordpiece_small,small,0.7793,4.1668
Hindi,sp_bpe_large,large,0.3491,1.9449
Hindi,sp_bpe_medium,medium,0.3929,2.1862
Hindi,sp_bpe_small,small,0.5067,2.8037
Hindi,sp_unigram_large,large,0.3497,1.9463
Hindi,sp_unigram_medium,medium,0.3819,2.1243
Hindi,sp_unigram_small,small,0.5174,2.8608
Japanese,hf_bpe_large,large,0.529,7.4856
Japanese,hf_bpe_medium,medium,0.5978,8.4776
Japanese,hf_bpe_small,small,0.7739,11.0098
Japanese,hf_wordpiece_large,large,0.5775,8.1898
Japanese,hf_wordpiece_medium,medium,0.7082,10.0753
Japanese,hf_wordpiece_small,small,0.9168,13.1019
Japanese,sp_bpe_large,large,0.5864,8.2318
Japanese,sp_bpe_medium,medium,0.6572,9.2745
Japanese,sp_bpe_small,small,0.8311,11.7395
Japanese,sp_unigram_large,large,0.5973,8.3685
Japanese,sp_unigram_medium,medium,0.6681,9.3931
Japanese,sp_unigram_small,small,0.8368,11.8092
Mandarin_Chinese,hf_bpe_large,large,0.6985,7.2173
Mandarin_Chinese,hf_bpe_medium,medium,0.7438,7.6769
Mandarin_Chinese,hf_bpe_small,small,0.8479,8.7353
Mandarin_Chinese,hf_wordpiece_large,large,0.6786,6.925
Mandarin_Chinese,hf_wordpiece_medium,medium,0.7628,7.7758
Mandarin_Chinese,hf_wordpiece_small,small,0.8391,8.4954
Mandarin_Chinese,sp_bpe_large,large,0.8052,8.2908
Mandarin_Chinese,sp_bpe_medium,medium,0.8564,8.8129
Mandarin_Chinese,sp_bpe_small,small,0.9462,9.7264
Mandarin_Chinese,sp_unigram_large,large,0.8166,8.4003
Mandarin_Chinese,sp_unigram_medium,medium,0.8556,8.7974
Mandarin_Chinese,sp_unigram_small,small,0.9393,9.6524
Russian,hf_bpe_large,large,0.299,2.1634
Russian,hf_bpe_medium,medium,0.3367,2.4322
Russian,hf_bpe_small,small,0.4621,3.3589
Russian,hf_wordpiece_large,large,0.3276,2.3668
Russian,hf_wordpiece_medium,medium,0.4406,3.1862
Russian,hf_wordpiece_small,small,0.8701,6.3412
Russian,sp_bpe_large,large,0.3038,2.2006
Russian,sp_bpe_medium,medium,0.3419,2.4703
Russian,sp_bpe_small,small,0.4655,3.3817
Russian,sp_unigram_large,large,0.3091,2.2264
Russian,sp_unigram_medium,medium,0.3414,2.4549
Russian,sp_unigram_small,small,0.4879,3.5411
Swahili,hf_bpe_large,large,0.262,1.7163
Swahili,hf_bpe_medium,medium,0.2953,1.935
Swahili,hf_bpe_small,small,0.4008,2.6293
Swahili,hf_wordpiece_large,large,0.291,1.9076
Swahili,hf_wordpiece_medium,medium,0.3759,2.4664
Swahili,hf_wordpiece_small,small,0.8573,5.6392
Swahili,sp_bpe_large,large,0.2647,1.733
Swahili,sp_bpe_medium,medium,0.2979,1.9535
Swahili,sp_bpe_small,small,0.3946,2.5893
